1465109186.785674776 CoordinatorMain.cc:97 in main NOTICE[1]: Command line: /home/syang0/.netbeans/remote/rcmaster.scs.stanford.edu/stephens-macbook-pro-6.local-MacOSX-x86_64/Users/syang0/Desktop/ramcloud_curr/obj.dataViz/coordinator -C tcp:host=rc19,port=12246 -l NOTICE --logFile logs/20160604234626/coordinator.rc19.log
1465109188.024974081 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109188.031000483 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received ENLIST_SERVER request from tcp:host=192.168.0.110,port=47629 with 53 bytes
1465109188.031024499 CoordinatorServerList.cc:148 in enlistServer NOTICE[4]: Enlisting server at tcp:host=rc10,port=12247 (server id 1.0) supporting services: MASTER_SERVICE, BACKUP_SERVICE, PING_SERVICE, MEMBERSHIP_SERVICE
1465109188.031053143 TcpTransport.cc:955 in sendReply ERROR[1]: Sending ENLIST_SERVER response to tcp:host=192.168.0.110,port=47629 with 12 bytes
1465109188.032534328 TcpTransport.cc:841 in sendRequest ERROR[1]: Sending GET_SERVER_ID request to tcp:host=rc10,port=12247 with 4 bytes
1465109188.032870068 TcpTransport.cc:909 in handleFileEvent ERROR[1]: Received GET_SERVER_ID response from tcp:host=rc10,port=12247 with 12 bytes
1465109188.032874691 TcpTransport.cc:841 in sendRequest ERROR[1]: Sending UPDATE_SERVER_LIST request to tcp:host=rc10,port=12247 with 88 bytes
1465109188.034751476 TcpTransport.cc:909 in handleFileEvent ERROR[1]: Received UPDATE_SERVER_LIST response from tcp:host=rc10,port=12247 with 12 bytes
1465109188.035200681 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109188.035216884 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 80 bytes
1465109188.045490839 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109188.045509537 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 80 bytes
1465109188.055820526 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109188.055840130 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 80 bytes
1465109188.066058792 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109188.066077441 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 80 bytes
1465109188.076294144 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109188.076313112 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 80 bytes
1465109188.085860418 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received ENLIST_SERVER request from tcp:host=192.168.0.111,port=55459 with 53 bytes
1465109188.085873181 CoordinatorServerList.cc:148 in enlistServer NOTICE[4]: Enlisting server at tcp:host=rc11,port=12247 (server id 2.0) supporting services: MASTER_SERVICE, BACKUP_SERVICE, PING_SERVICE, MEMBERSHIP_SERVICE
1465109188.085885301 TcpTransport.cc:955 in sendReply ERROR[1]: Sending ENLIST_SERVER response to tcp:host=192.168.0.111,port=55459 with 12 bytes
1465109188.085904307 TcpTransport.cc:841 in sendRequest ERROR[1]: Sending UPDATE_SERVER_LIST request to tcp:host=rc10,port=12247 with 88 bytes
1465109188.086488002 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109188.086500478 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 141 bytes
1465109188.086960267 TcpTransport.cc:841 in sendRequest ERROR[1]: Sending GET_SERVER_ID request to tcp:host=rc11,port=12247 with 4 bytes
1465109188.087252064 TcpTransport.cc:909 in handleFileEvent ERROR[1]: Received GET_SERVER_ID response from tcp:host=rc11,port=12247 with 12 bytes
1465109188.087255628 TcpTransport.cc:841 in sendRequest ERROR[1]: Sending UPDATE_SERVER_LIST request to tcp:host=rc11,port=12247 with 149 bytes
1465109188.087813490 TcpTransport.cc:909 in handleFileEvent ERROR[1]: Received UPDATE_SERVER_LIST response from tcp:host=rc10,port=12247 with 12 bytes
1465109188.089656090 TcpTransport.cc:909 in handleFileEvent ERROR[1]: Received UPDATE_SERVER_LIST response from tcp:host=rc11,port=12247 with 12 bytes
1465109188.096715911 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109188.096735997 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 141 bytes
1465109188.106961415 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109188.106980939 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 141 bytes
